"ANO_ELEICAO","COD_MUN_IBGE","NOME_MUNICIPIO","UF","NOME_CANDIDATO","SIGLA_PARTIDO","CODIGO_SEXO","DESCRICAO_GRAU_INSTRUCAO"
"2016","1200302","Feijó","AC","KIEFER ROBERTO CAVALCANTE LIMA","PP","2","SUPERIOR COMPLETO"
"2016","1200179","Capixaba","AC","JOSÉ AUGUSTO GOMES DA CUNHA","PP","2","ENSINO FUNDAMENTAL COMPLETO"
"2016","1200435","Santa Rosa do Purus","AC","FRANCISCO DE ASSIS FERNANDES DA COSTA","PRP","2","ENSINO MÉDIO COMPLETO"
"2016","1200252","Epitaciolândia","AC","JOÃO SEBASTIÃO FLORES DA SILVA","PSB","2","SUPERIOR COMPLETO"
"2016","1200054","Assis Brasil","AC","ANTONIO BARBOSA DE SOUSA","PSDB","2","SUPERIOR COMPLETO"
"2016","1200013","Acrelândia","AC","EDERALDO CAETANO DE SOUSA","PSB","2","ENSINO MÉDIO INCOMPLETO"
"2016","2706208","Palestina","AL","ELIANE SILVA LISBOA","PSD","4","ENSINO MÉDIO COMPLETO"
"2016","2704807","Maribondo","AL","LEOPOLDO CESAR AMORIM PEDROSA","PRB","2","ENSINO MÉDIO INCOMPLETO"
"2016","2704609","Maravilha","AL","MARIA DA CONCEIÇÃO RIBEIRO DE ALBUQUERQUE","PMDB","4","SUPERIOR COMPLETO"
"2016","2706448","Paripueira","AL","HAROLDO NASCIMENTO DA SILVA","PSDB","2","ENSINO MÉDIO COMPLETO"
"2016","2706802","Piaçabuçu","AL","DJALMA GUTTEMBERG SIQUEIRA BREDA","PRB","2","SUPERIOR COMPLETO"
"2016","2703601","Japaratinga","AL","KLEVER RÊGO LOUREIRO JUNIOR","PMDB","2","SUPERIOR COMPLETO"
"2016","2708907","Satuba","AL","JOSE PAULINO ACIOLY DE ARAUJO","PMDB","2","ENSINO MÉDIO COMPLETO"
"2016","2706422","Pariconha","AL","FABIANO RIBEIRO DE SANTANA","PP","2","SUPERIOR COMPLETO"
"2016","2702801","Flexeiras","AL","MARIA ISABEL COSTA SOUZA","PP","4","ENSINO MÉDIO COMPLETO"
"2016","2701308","Cajueiro","AL","ANTONIO PALMERY MELO NETO","PMDB","2","ENSINO MÉDIO COMPLETO"
"2016","2709202","Traipu","AL","EDUARDO TAVARES MENDES","PSDB","2","SUPERIOR COMPLETO"
"2016","2702702","Feliz Deserto","AL","ROSIANA LIMA BELTRÃO SIQUEIRA","PMDB","4","SUPERIOR COMPLETO"
"2016","2709004","Tanque d'Arca","AL","WILMARIO VALENÇA SILVA JUNIOR","PSD","2","ENSINO FUNDAMENTAL COMPLETO"
"2016","2701605","Canapi","AL","VINICIUS JOSE MARIANO DE LIMA","DEM","2","SUPERIOR INCOMPLETO"
"2016","2701357","Campestre","AL","NIELSON MENDES DA SILVA","PMDB","2","ENSINO FUNDAMENTAL COMPLETO"
"2016","2708303","São José da Laje","AL","BRUNO RODRIGO VALENÇA DE ARAÚJO","PMDB","2","SUPERIOR COMPLETO"
"2016","2706406","Pão de Açúcar","AL","FLAVIO ALMEIDA DA SILVA JUNIOR","PMDB","2","SUPERIOR COMPLETO"
"2016","2707107","Piranhas","AL","MARISTELA SENA DIAS","PP","4","SUPERIOR COMPLETO"
"2016","2705408","Monteirópolis","AL","MAILSON DE MENDONCA LIMA","PR","2","SUPERIOR INCOMPLETO"
"2016","2705002","Mata Grande","AL","ERIVALDO DE MELO LIMA","PP","2","ENSINO MÉDIO COMPLETO"
"2016","2702504","Dois Riachos","AL","RAMON CAMILO SILVA","PRP","2","SUPERIOR COMPLETO"
"2016","2702553","Estrela de Alagoas","AL","ARLINDO GARROTE DA SILVA NETO","PP","2","SUPERIOR COMPLETO"
"2016","2706307","Palmeira dos Índios","AL","JULIO CEZAR DA SILVA","PSB","2","SUPERIOR COMPLETO"
"2016","2704708","Marechal Deodoro","AL","CLAUDIO ROBERTO AYRES DA COSTA","PSD","2","SUPERIOR INCOMPLETO"
"2016","2707503","Porto Real do Colégio","AL","ALDO ENIO BORGES","PSDB","2","ENSINO FUNDAMENTAL INCOMPLETO"
"2016","2705507","Murici","AL","OLAVO CALHEIROS NOVAIS NETO","PMDB","2","SUPERIOR COMPLETO"
"2016","2702900","Girau do Ponciano","AL","DAVID RAMOS DE BARROS","PTB","2","SUPERIOR COMPLETO"
"2016","2705200","Messias","AL","JARBAS MAYA DE OMENA FILHO","PSDB","2","SUPERIOR COMPLETO"
"2016","2703403","Jacaré dos Homens","AL","JOSE FLORIANO BENTO DE MELO","PSB","2","SUPERIOR COMPLETO"
"2016","2700409","Atalaia","AL","FRANCISCO LUIZ DE ALBUQUERQUE","PMDB","2","ENSINO MÉDIO COMPLETO"
"2016","2709152","Teotônio Vilela","AL","JOÃO JOSÉ PEREIRA FILHO","PSDB","2","ENSINO MÉDIO INCOMPLETO"
"2016","2708204","São Brás","AL","MARCOS SANDES","PMDB","2","SUPERIOR COMPLETO"
"2016","2707206","Poço das Trincheiras","AL","MARIA APARECIDA FERREIRA RODRIGUES SILVA","PMDB","4","ENSINO MÉDIO COMPLETO"
"2016","2704302","Maceió","AL","RUI SOARES PALMEIRA","PSDB","2","SUPERIOR COMPLETO"
"2016","2707404","Porto de Pedras","AL","CARLOS HENRIQUE VILELA DE VASCONCELOS","PSDB","2","SUPERIOR COMPLETO"
"2016","2700706","Batalha","AL","MARINA THEREZA CINTRA DANTAS","PMDB","4","SUPERIOR COMPLETO"
"2016","2707305","Porto Calvo","AL","DAVID KLEVISSON DA FONSECA SILVA PEDROSA","PMDB","2","ENSINO MÉDIO COMPLETO"
"2016","2705903","Olho d'Água Grande","AL","JOSE ADELSON DE SOUZA","PSDB","2","SUPERIOR COMPLETO"
"2016","2707800","Roteiro","AL","WLADIMIR CHAVES DE BRITO","PDT","2","ENSINO MÉDIO COMPLETO"
"2016","2709301","União dos Palmares","AL","ARESKI DAMARA DE OMENA FREITAS JUNIOR","PMDB","2","SUPERIOR COMPLETO"
"2016","2701100","Branquinha","AL","JAIRON MAIA FERNANDES NETO","PSDB","2","SUPERIOR INCOMPLETO"
"2016","2700102","Água Branca","AL","JOSÉ CARLOS DE CARVALHO","PSDB","2","ENSINO MÉDIO INCOMPLETO"
"2016","2705804","Olho d'Água do Casado","AL","JOSÉ DOS SANTOS","PT","2","SUPERIOR INCOMPLETO"
"2016","1600501","Oiapoque","AP","MARIA ORLANDA MARQUES GARCIA","PSDB","4","ENSINO MÉDIO COMPLETO"
"2016","1600600","Santana","AP","OFIRNEY DA CONCEIÇÃO SADALA","PSDC","2","SUPERIOR COMPLETO"
"2016","1600808","Vitória do Jari","AP","RAIMUNDO DE ALCIMAR NEY DE SOUZA","PT","2","ENSINO MÉDIO COMPLETO"
"2016","1600212","Cutias","AP","RAIMUNDO BARBOSA AMANAJÁS FILHO","PROS","2","SUPERIOR COMPLETO"
"2016","1302702","Manicoré","AM","MANUEL SEBASTIÃO PIMENTEL DE MEDEIROS","PSD","2","SUPERIOR COMPLETO"
"2016","1302009","Itapiranga","AM","DENISE DE FARIAS LIMA","PROS","4","SUPERIOR COMPLETO"
"2016","1304203","Tefé","AM","NORMANDO BESSA DE SA","PMN","2","SUPERIOR COMPLETO"
"2016","1304260","Uarini","AM","ANTONIO WALDETRUDES UCHOA DE BRITO","PMN","2","ENSINO MÉDIO COMPLETO"
"2016","1301407","Eirunepé","AM","RAYLAN BARROSO DE ALENCAR","PROS","2","SUPERIOR INCOMPLETO"
