ano;cod_uf;cod_munic;pib;prop_serv;pop;arrecad;educ;cod_reg;idade;area;larrecad;lpib;leduc;lpop;lprop_serv;a2001;a2002;a2003;a2004;a2005;a2006;a2007;uf_r
2001;31;3100104;23799.435;0.454821511519076;6441;97347.86;6.75698324022346;3;52;894.515;11.4860460280215;10.077417119882;1.91057652420933;8.77043908654689;-0.787850219369703;1;0;0;0;0;0;0;31
2002;31;3100104;27686.302;0.451224363586007;6436;155518.93;6.6390243902439;3;53;894.515;11.9545227395266;10.2286930572284;1.89296502351306;8.76966250811227;-0.795790582946677;0;1;0;0;0;0;0;31
2003;31;3100104;32798.443;0.418262781559478;6432;288981.15;6.76892028254289;3;54;894.515;12.5741167400538;10.3981363237333;1.91234158861311;8.7690408108588;-0.871645379965933;0;0;1;0;0;0;0;31
2004;31;3100104;36862.961;0.423234612108344;6422;321702.03;7.46955128205128;3;55;894.515;12.6813810234341;10.5149625589795;2.01083492800331;8.76748487464946;-0.859828615136968;0;0;0;1;0;0;0;31
2005;31;3100104;42645.922;0.443826375708327;6417;429969.65;8.45108225108225;3;56;894.515;12.9714699037834;10.6606869328736;2.13429451021907;8.76670599775052;-0.812321838730188;0;0;0;0;1;0;0;31
2006;31;3100104;46873.438;0.455423538593435;6412;947056.6;7.25992779783394;3;57;894.515;13.7611141380696;10.7552064400508;1.98236988358531;8.76592651372944;-0.786527438955642;0;0;0;0;0;1;0;31
2007;31;3100104;56942.144;0.45088576222209;6556;792706.54;7.05712050078247;3;58;894.515;13.5832083690751;10.9497910137937;1.95403710722823;8.78813593986372;-0.796541270407402;0;0;0;0;0;0;1;31
2001;31;3100203;99487.416;0.547999929960991;22531;694643.06;5.71964364276287;3;62;1816.856;13.4511534098843;11.5077864427866;1.74390650323469;10.0226474177054;-0.60148011984254;1;0;0;0;0;0;0;31
2002;31;3100203;112069.589;0.555501591069456;22712;872338.28;6.37338652898381;3;63;1816.856;13.6789325634433;11.6268752876886;1.85213096551819;10.0306486981528;-0.587883805695112;0;1;0;0;0;0;0;31
2003;31;3100203;133823.041;0.53377317139281;22875;748182.91;6.64536823197331;3;64;1816.856;13.5254027591491;11.804273616634;1.89392010552426;10.0377998901437;-0.62778430293605;0;0;1;0;0;0;0;31
2004;31;3100203;147633.128;0.537115314660271;23217;957339.62;6.54136690647482;3;65;1816.856;13.7719134873129;11.9024856104091;1.87814615073641;10.0526400479386;-0.621542468866596;0;0;0;1;0;0;0;31
2005;31;3100203;165765.529;0.540916416946976;23407;1014730.23;6.67062374245473;3;66;1816.856;13.8301333518802;12.0183295929506;1.89771337016622;10.0607904019099;-0.614490509396965;0;0;0;0;1;0;0;31
2006;31;3100203;173957.092;0.595993039478954;23595;1145288.06;6.80246679316888;3;67;1816.856;13.9511667441154;12.0665639500853;1.91728531010052;10.0687901041605;-0.517526290711572;0;0;0;0;0;1;0;31
2007;31;3100203;196106.152;0.576007564515365;22474;1493231.94;6.909696142028;3;68;1816.856;14.2164534160965;12.1864113834415;1.9329256631554;10.0201143644678;-0.551634485533305;0;0;0;0;0;0;1;31
2001;31;3100401;8267.016;0.707446193402795;3915;49512.49;6.23432835820896;3;38;100.876;10.809980239961;9.02002890065663;1.83007085211216;8.2725706084249;-0.346093704084322;1;0;0;0;0;0;0;31
2002;31;3100401;9913.261;0.696295699265862;3952;77464.77;6.33498759305211;3;39;100.876;11.2575785313432;9.20162863474914;1.8460878552948;8.28197705886776;-0.361980853606119;0;1;0;0;0;0;0;31
2003;31;3100401;12103.55;0.678644116808705;3981;84637.72;6.9590570719603;3;40;100.876;11.3461353091112;9.40125407698462;1.94004398700171;8.28928832300032;-0.387658417238083;0;0;1;0;0;0;0;31
2004;31;3100401;12905.799;0.651831785075841;4043;145745.33;7.38557993730408;3;41;100.876;11.889616062533;9.46543202422295;1.99952944198663;8.30474226964077;-0.427968748692722;0;0;0;1;0;0;0;31
2005;31;3100401;13754.197;0.672961424065687;4077;107628.21;7.52294455066922;3;42;100.876;11.5864380670692;9.52909929288321;2.01795762391012;8.31311670281925;-0.396067270347705;0;0;0;0;1;0;0;31
2006;31;3100401;15198.375;0.690821420053131;4111;114497.58;7.6406976744186;3;43;100.876;11.6483089663819;9.62894379322458;2.03348891765031;8.32142158689788;-0.369873925585923;0;0;0;0;0;1;0;31
2007;31;3100401;16331.961;0.716257772107097;4056;140722.95;8.82805429864253;3;44;100.876;11.8545483428074;9.70087926448658;2.17793463910536;8.30795254527102;-0.333715159902675;0;0;0;0;0;0;1;31
2001;31;3100500;21899.738;0.612982675865803;11413;184488.22;5.93227424749164;3;52;811.49;12.1253408921859;9.99422995226271;1.78040765508357;9.3425083355536;-0.48941860467562;1;0;0;0;0;0;0;31
2002;31;3100500;24246.06;0.616099976656001;11414;215329.31;6.25087412587413;3;53;811.49;12.2799238097116;10.0960094089385;1.83272131410865;9.34259595109665;-0.484346028851564;0;1;0;0;0;0;0;31
2003;31;3100500;29237.013;0.602332016611957;11380;201858.88;7.32095096582467;3;54;811.49;12.2153241183776;10.2831907540628;1.99074023289924;9.33961270768032;-0.50694646309479;0;0;1;0;0;0;0;31
2004;31;3100500;28958.285;0.641289150928655;11307;229780.81;7.54758064516129;3;55;811.49;12.3448811335121;10.2736116251328;2.02122706755817;9.33317728193525;-0.444274830281109;0;0;0;1;0;0;0;31
2005;31;3100500;32224.868;0.653408231183445;11267;335686.22;7.48384831460674;3;56;811.49;12.7239321335704;10.3804937316004;2.01274714024904;9.32963337816417;-0.425553182429799;0;0;0;0;1;0;0;31
2006;31;3100500;35855.149;0.671074076417867;11227;385951.49;8.28243243243243;3;57;811.49;12.8634669669743;10.4872424619349;2.11413669728752;9.32607687045878;-0.39887575105776;0;0;0;0;0;1;0;31
2007;31;3100500;39550.575;0.652382550696166;11127;381264.44;8.53653585926928;3;58;811.49;12.8512484815963;10.5853355116489;2.14435528841959;9.3171298661577;-0.42712415492012;0;0;0;0;0;0;1;31
2001;31;3100609;48085.277;0.426654503830767;17958;131982.79;11.6012647802575;3;47;1317.748;11.7904268142806;10.7807313177622;2.45111412494949;9.79579097708075;-0.851780717789546;1;0;0;0;0;0;0;31
2002;31;3100609;46087.271;0.500267785436894;18221;210456.45;11.6392884589507;3;48;1317.748;12.2570340223392;10.7382920737207;2.45438631147871;9.81033005404988;-0.692611753053051;0;1;0;0;0;0;0;31
2003;31;3100609;53615.323;0.47604601766551;18419;259425.7;11.5305744781039;3;49;1317.748;12.4662256207449;10.8895901830696;2.44500215768017;9.8211380195191;-0.742240753655641;0;0;1;0;0;0;0;31
2004;31;3100609;58021.082;0.489112129966828;18834;142860.84;12.305571959161;3;50;1317.748;11.8696262885741;10.9685617062433;2.5100521646125;9.84341902607001;-0.715163511157914;0;0;0;1;0;0;0;31
2005;31;3100609;63896.568;0.492212054331306;19064;265957.19;13.8868755658076;3;51;1317.748;12.491090634962;11.0650209300031;2.63094419019662;9.85555701877858;-0.708845650607264;0;0;0;0;1;0;0;31
2006;31;3100609;59206.163;0.570106730274009;19292;273898.02;15.2441473715414;3;52;1317.748;12.5205111263094;10.9887809201833;2.72419565047613;9.86744578118886;-0.561931689587151;0;0;0;0;0;1;0;31
2007;31;3100609;70868.706;0.538039751988699;16435;374166.71;15.4255681043734;3;53;1317.748;12.8324567257433;11.1685842328539;2.73602639921848;9.70716848609832;-0.61982283309514;0;0;0;0;0;0;1;31
2001;31;3100708;28390.949;0.320416693362381;2231;171591.29;4.16969273743017;3;47;489.513;12.052870707172;10.2538256761715;1.4278423490264;7.71020519443253;-1.13813296351477;1;0;0;0;0;0;0;31
2002;31;3100708;31821.781;0.313798935389569;2152;49424.86;5.19521178637201;3;48;489.513;10.8082088154602;10.3679062714128;1.64773739106806;7.67415292128168;-1.15900283132896;0;1;0;0;0;0;0;31
2003;31;3100708;49760.825;0.260926602402593;2179;78706.04;4.66381766381766;3;49;489.513;11.2734751786016;10.8149833068576;1.53983435390527;7.68662133494462;-1.34351612805662;0;0;1;0;0;0;0;31
2004;31;3100708;62998.18;0.243997715489559;2238;94248.02;5.52871621621622;3;50;489.513;11.453685097132;11.0508611160675;1.70995563961717;7.71333788887187;-1.41059641648048;0;0;0;1;0;0;0;31
2005;31;3100708;51207.426;0.279655903813638;2270;171721.8;5.1071964017991;3;51;489.513;12.0536310044639;10.843639839573;1.6306506042981;7.72753511047545;-1.27419534649938;0;0;0;0;1;0;0;31
2006;31;3100708;60898.616;0.264977910171226;2302;235110.45;5.91579731743666;3;52;489.513;12.3678106827109;11.0169657276598;1.77762628419349;7.74153358928183;-1.3281088143148;0;0;0;0;0;1;0;31
2007;31;3100708;56857.723;0.296220356907363;2093;244693.83;5.26266996291718;3;53;489.513;12.4077630345644;10.9483073386768;1.66063849547835;7.646353722446;-1.21665165261143;0;0;0;0;0;0;1;31
2001;31;3100807;12215.226;0.558932679591847;3614;32597;6.98053278688525;3;38;235.025;10.3919755385804;9.41043848536268;1.94312524436058;8.19257047115217;-0.581726243147573;1;0;0;0;0;0;0;31
2002;31;3100807;14599.224;0.524864814732619;3639;44630;7.09919839679359;3;39;235.025;10.7061615576233;9.58872365559895;1.95998187581332;8.19946419761216;-0.644614545295629;0;1;0;0;0;0;0;31
2003;31;3100807;16734.992;0.512789309968;3674;53282;7.31285444234405;3;40;235.025;10.8833538420473;9.72525713560528;1.98963368213121;8.20903626577507;-0.667890219989222;0;0;1;0;0;0;0;31
2004;31;3100807;19690.178;0.48348003761063;3749;60382;6.97300944669366;3;41;235.025;11.0084463262631;9.8878752117142;1.9420469029911;8.22924441673591;-0.726745252199393;0;0;0;1;0;0;0;31
2005;31;3100807;22290.337;0.484391599821932;3791;62373;7.01734693877551;3;42;235.025;11.0408877684115;10.011908545153;1.94838521765522;8.24038511551633;-0.724861608861632;0;0;0;0;1;0;0;31
